Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,3.0,116.0,556.8,41539.0,9007.431501
SUV,Premium,Offer1,Employed,Married,College,1.0,185.0,888.0,59630.0,7329.777554
SUV,Premium,Offer1,Disabled,Married,High School or Below,5.0,151.0,914.434097,10384.0,11469.62991
Four-Door Car,Basic,Offer2,Employed,Single,College,6.0,61.0,421.235276,74730.0,4819.183706
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,4.0,67.0,321.6,58493.0,5340.535477
Four-Door Car,Basic,Offer3,Retired,Divorced,College,1.0,73.0,350.4,20608.0,2685.177658
Four-Door Car,Extended,Offer3,Employed,Married,Master,3.0,96.0,41.122303,41275.0,7752.933281
Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,1.0,94.0,509.722387,43412.0,3768.086327
SUV,Basic,Offer4,Employed,Married,High School or Below,5.0,108.0,518.4,37759.0,8561.561976
Two-Door Car,Premium,Offer3,Employed,Married,High School or Below,2.0,108.0,750.082794,40117.0,12692.67092
Four-Door Car,Basic,Offer2,Employed,Divorced,College,3.0,73.0,338.529369,73976.0,5824.224192
SUV,Basic,Offer1,Disabled,Married,High School or Below,2.0,113.0,542.4,18495.0,26197.41498
Four-Door Car,Basic,Offer1,Employed,Married,College,9.0,61.0,295.223164,36655.0,4835.783179
Sports Car,Basic,Offer3,Employed,Divorced,Bachelor,1.0,112.0,241.304377,38925.0,4363.599418
Four-Door Car,Basic,Offer1,Unemployed,Married,College,2.0,69.0,450.760925,0.0,12807.09083
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,2.0,66.0,316.8,34644.0,7832.569008
Luxury Car,Basic,Offer2,Unemployed,Single,College,1.0,180.0,1777.471271,0.0,5886.221122
Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,9.0,65.0,467.803638,75644.0,4974.801539
Four-Door Car,Extended,Offer3,Employed,Married,Master,2.0,94.0,229.711908,98254.0,11323.35555
Four-Door Car,Basic,Offer3,Employed,Married,Master,6.0,61.0,292.8,40463.0,4944.240345
Four-Door Car,Extended,Offer1,Unemployed,Married,High School or Below,4.0,94.0,17.938979,0.0,6358.251692
SUV,Extended,Offer3,Employed,Married,High School or Below,2.0,129.0,98.921782,77517.0,15467.78904
SUV,Extended,Offer1,Unemployed,Single,Bachelor,1.0,121.0,1032.204305,0.0,3857.947176
SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,105.0,756.0,39492.0,4105.580991
Four-Door Car,Basic,Offer1,Employed,Single,High School or Below,3.0,70.0,242.320409,41186.0,5100.737803
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,74.0,68.647736,42191.0,17732.46488
SUV,Extended,Offer2,Disabled,Single,College,5.0,135.0,972.0,16511.0,10053.55227
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,65.0,768.797656,0.0,2254.402024
SUV,Basic,Offer1,Employed,Single,College,2.0,102.0,346.845129,91871.0,28486.0728
Four-Door Car,Basic,Offer2,Unemployed,Married,College,2.0,66.0,316.8,0.0,7200.664877
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,1.0,83.0,366.90936,21947.0,3289.132998
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,98.0,705.6,0.0,3046.248976
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,67.0,55.394702,79292.0,2700.985899
Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,3.0,74.0,355.2,19949.0,5615.073509
Luxury SUV,Extended,Offer3,Employed,Married,High School or Below,2.0,235.0,1065.049894,83006.0,46805.22306
Two-Door Car,Basic,Offer2,Unemployed,Divorced,Master,1.0,71.0,17.029835,0.0,2601.351096
Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,65.0,116.322725,53304.0,2590.321715
Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,2.0,65.0,468.0,0.0,6535.560574
Two-Door Car,Basic,Offer2,Employed,Married,College,4.0,70.0,471.050488,83640.0,5689.644114
Four-Door Car,Extended,Offer2,Unemployed,Single,Bachelor,2.0,85.0,612.0,0.0,11834.73469
Four-Door Car,Extended,Offer3,Disabled,Divorced,High School or Below,2.0,78.0,374.4,26864.0,8807.486831
SUV,Basic,Offer2,Unemployed,Single,Bachelor,2.0,106.0,763.2,0.0,11814.47532
Four-Door Car,Basic,Offer4,Employed,Married,College,7.0,61.0,292.8,28663.0,4466.977478
Four-Door Car,Basic,Offer1,Employed,Married,College,2.0,61.0,292.8,58149.0,21892.93859
Four-Door Car,Basic,Offer2,Unemployed,Married,College,3.0,72.0,345.6,0.0,5087.020469
Sports Car,Basic,Offer1,Employed,Single,Master,8.0,116.0,158.077504,37722.0,9075.768214
Four-Door Car,Basic,Offer1,Unemployed,Single,College,8.0,69.0,632.081402,0.0,4836.054291
SUV,Basic,Offer1,Employed,Married,Master,4.0,105.0,504.0,91276.0,8593.866533
Four-Door Car,Basic,Offer4,Employed,Divorced,Bachelor,1.0,71.0,340.8,21606.0,2534.306443
SUV,Premium,Offer2,Employed,Divorced,Bachelor,7.0,197.0,1404.868905,35822.0,15394.8718
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,9.0,70.0,504.0,23241.0,5533.229132
Two-Door Car,Extended,Offer2,Employed,Single,High School or Below,7.0,83.0,398.4,34498.0,6369.262355
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,64.0,302.56519,64749.0,7619.5158
Two-Door Car,Basic,Offer3,Employed,Married,Master,1.0,74.0,355.2,35605.0,2991.423685
Sports Car,Basic,Offer1,Employed,Married,Bachelor,2.0,104.0,88.173438,52797.0,12174.58795
SUV,Basic,Offer2,Employed,Married,College,5.0,112.0,83.240006,67840.0,9012.922138
Four-Door Car,Extended,Offer3,Employed,Married,Master,1.0,80.0,244.158446,68370.0,3203.303695
Two-Door Car,Basic,Offer1,Employed,Married,College,7.0,66.0,316.8,59537.0,5251.983996
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,4.0,68.0,177.948654,70795.0,5481.502923
Four-Door Car,Extended,Offer1,Unemployed,Single,College,1.0,97.0,698.4,0.0,3508.92537
Four-Door Car,Premium,Offer2,Unemployed,Single,College,1.0,117.0,842.4,0.0,4031.539471
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,3.0,65.0,312.0,17622.0,4458.113369
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,1.0,65.0,458.804028,25385.0,2555.51822
Two-Door Car,Basic,Offer2,Retired,Married,College,1.0,72.0,345.6,14030.0,2719.506996
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,6.0,71.0,204.475147,68987.0,5744.229745
Four-Door Car,Basic,Offer2,Employed,Married,College,4.0,65.0,13.874775,55290.0,5174.689686
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,7.0,66.0,309.577946,68931.0,5332.462694
SUV,Basic,Offer3,Employed,Divorced,College,2.0,119.0,254.149197,76530.0,27279.33647
Four-Door Car,Extended,Offer1,Unemployed,Married,High School or Below,1.0,95.0,684.0,0.0,3615.889805
Four-Door Car,Premium,Offer2,Disabled,Divorced,High School or Below,9.0,114.0,547.2,18017.0,8583.272854
SUV,Basic,Offer1,Unemployed,Single,College,6.0,104.0,748.8,0.0,6875.606133
Four-Door Car,Basic,Offer1,Unemployed,Single,College,1.0,74.0,470.956628,0.0,2618.80573
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,69.0,331.2,92296.0,2759.978287
Four-Door Car,Extended,Offer3,Unemployed,Married,High School or Below,2.0,81.0,388.8,0.0,23866.15656
Four-Door Car,Basic,Offer1,Employed,Single,College,8.0,63.0,290.301553,48295.0,4913.118904
Luxury SUV,Extended,Offer2,Employed,Divorced,Master,7.0,239.0,1294.700423,22705.0,19160.98994
Two-Door Car,Basic,Offer1,Employed,Married,College,1.0,65.0,77.54669,25981.0,2590.654042
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,7.0,65.0,177.211626,35832.0,5043.801276
SUV,Basic,Offer2,Employed,Married,College,3.0,102.0,489.6,29057.0,8178.235107
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,4.0,80.0,749.134686,0.0,5375.657146
SUV,Basic,Offer1,Employed,Married,Bachelor,1.0,102.0,344.736945,86101.0,4117.4697
Four-Door Car,Premium,Offer1,Employed,Single,Bachelor,1.0,109.0,679.534284,49853.0,4257.477861
Four-Door Car,Extended,Offer2,Disabled,Divorced,High School or Below,1.0,93.0,582.462008,13199.0,3605.974564
Two-Door Car,Extended,Offer2,Unemployed,Single,High School or Below,4.0,99.0,475.2,0.0,6947.838781
SUV,Basic,Offer2,Employed,Married,College,2.0,113.0,662.444819,98036.0,13559.39395
Four-Door Car,Basic,Offer3,Employed,Single,Bachelor,2.0,66.0,382.085897,25290.0,7705.283329
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1.0,65.0,284.492531,44940.0,2570.433324
Four-Door Car,Basic,Offer1,Retired,Divorced,Bachelor,1.0,63.0,302.4,25905.0,2300.691547
Four-Door Car,Premium,Offer1,Unemployed,Married,Bachelor,8.0,117.0,91.055318,0.0,7804.597655
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7.0,61.0,292.8,0.0,4250.282624
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,6.0,68.0,489.6,0.0,4760.941906
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,1.0,63.0,453.6,0.0,2348.028868
Four-Door Car,Extended,Offer3,Disabled,Married,College,7.0,93.0,446.4,20416.0,7048.544758
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,2.0,87.0,153.205591,92983.0,10536.07798
Four-Door Car,Basic,Offer4,Employed,Married,Master,9.0,73.0,80.669257,62773.0,5887.182043
Four-Door Car,Basic,Offer2,Employed,Married,Master,3.0,62.0,238.005074,53265.0,4980.825042
SUV,Extended,Offer2,Employed,Single,Master,1.0,137.0,209.504391,54817.0,5351.853544
SUV,Basic,Offer2,Unemployed,Single,Bachelor,3.0,109.0,523.2,0.0,7663.871432
Luxury SUV,Extended,Offer4,Employed,Married,College,3.0,217.0,1041.6,80969.0,17441.6378
Two-Door Car,Extended,Offer2,Employed,Married,College,9.0,78.0,391.942636,61040.0,6269.592055
SUV,Basic,Offer2,Employed,Married,High School or Below,3.0,108.0,369.818708,64125.0,8646.504109
Luxury Car,Extended,Offer1,Employed,Married,College,2.0,214.0,1027.2,71210.0,25807.063
Two-Door Car,Extended,Offer2,Employed,Married,College,2.0,95.0,383.167471,84910.0,11365.26766
Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,66.0,316.8,29697.0,2571.260863
Two-Door Car,Premium,Offer4,Employed,Married,Bachelor,1.0,116.0,801.577478,33531.0,4547.892543
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,61.0,146.119178,60969.0,7258.992716
Two-Door Car,Extended,Offer1,Employed,Married,College,1.0,89.0,429.171384,51950.0,3574.990725
Two-Door Car,Basic,Offer4,Employed,Divorced,College,7.0,74.0,152.365482,78352.0,5895.106386
Two-Door Car,Basic,Offer2,Employed,Divorced,High School or Below,9.0,73.0,35.915639,88359.0,5823.162917
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,94.0,1121.876091,0.0,3199.703983
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,71.0,511.2,0.0,2509.508795
Four-Door Car,Premium,Offer1,Unemployed,Single,Bachelor,5.0,106.0,763.2,0.0,7495.676658
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,2.0,92.0,441.6,31063.0,10808.06597
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,65.0,312.0,30027.0,2560.691306
Two-Door Car,Basic,Offer3,Unemployed,Divorced,College,7.0,71.0,143.276484,0.0,4638.945365
Two-Door Car,Basic,Offer2,Employed,Single,Bachelor,1.0,65.0,276.877348,56228.0,2520.301352
Four-Door Car,Basic,Offer3,Medical Leave,Married,Master,5.0,69.0,170.939409,14775.0,5297.625945
SUV,Basic,Offer4,Employed,Married,High School or Below,5.0,117.0,561.6,37388.0,9192.592887
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,2.0,61.0,435.835125,51789.0,7355.349908
Four-Door Car,Extended,Offer2,Retired,Married,High School or Below,1.0,78.0,486.278557,10312.0,2886.451602
Four-Door Car,Premium,Offer2,Employed,Married,College,2.0,116.0,556.8,45431.0,41745.00646
SUV,Basic,Offer2,Employed,Single,College,1.0,114.0,754.358929,99316.0,4574.524094
Two-Door Car,Basic,Offer2,Disabled,Married,Bachelor,1.0,67.0,321.6,25163.0,2534.990075
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3.0,72.0,341.878002,33818.0,5453.707634
SUV,Basic,Offer3,Employed,Divorced,Doctor,9.0,119.0,423.785148,90334.0,9635.58373
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,71.0,327.078047,36733.0,14019.97546
Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,7.0,88.0,189.835063,53808.0,6978.719808
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2.0,98.0,705.6,0.0,23895.6779
Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,1.0,72.0,405.804184,0.0,2554.032052
Sports Car,Basic,Offer2,Employed,Married,College,3.0,100.0,480.0,62291.0,7901.697919
Four-Door Car,Basic,Offer1,Disabled,Divorced,Master,2.0,74.0,523.888845,26057.0,8509.850887
Luxury SUV,Extended,Offer4,Employed,Married,High School or Below,9.0,211.0,1012.8,98623.0,17019.1929
Two-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,64.0,120.477298,35149.0,2552.226197
Four-Door Car,Premium,Offer3,Unemployed,Married,Bachelor,2.0,113.0,217.92632,0.0,12362.08766
Four-Door Car,Basic,Offer1,Medical Leave,Divorced,High School or Below,1.0,65.0,329.206567,25965.0,2491.257604
SUV,Basic,Offer4,Employed,Married,College,1.0,104.0,748.8,24123.0,4087.512572
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,2.0,87.0,626.4,0.0,28824.06193
Two-Door Car,Premium,Offer2,Medical Leave,Married,Bachelor,3.0,116.0,792.609747,15142.0,8903.966435
Four-Door Car,Basic,Offer4,Unemployed,Single,High School or Below,8.0,67.0,482.4,0.0,4721.659016
Four-Door Car,Basic,Offer4,Employed,Married,Master,2.0,63.0,302.4,89586.0,7675.871354
Four-Door Car,Basic,Offer2,Disabled,Divorced,Bachelor,6.0,64.0,307.2,25398.0,4815.009736
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,65.0,256.242825,85067.0,7857.357595
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,9.0,65.0,312.0,92589.0,5279.478432
Four-Door Car,Extended,Offer4,Employed,Married,College,1.0,79.0,272.9955,55855.0,3135.405606
Sports Car,Extended,Offer3,Employed,Married,Doctor,3.0,131.0,730.373515,27458.0,10548.53703
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,85.0,62.282034,39754.0,3369.71211
Four-Door Car,Basic,Offer2,Employed,Married,Master,9.0,67.0,214.772284,44305.0,5463.913828
SUV,Extended,Offer2,Unemployed,Married,College,1.0,122.0,725.870693,0.0,4270.034394
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,6.0,72.0,345.6,35012.0,5599.382893
SUV,Basic,Offer1,Retired,Divorced,Bachelor,2.0,115.0,828.0,14973.0,12168.74492
Four-Door Car,Premium,Offer3,Employed,Married,High School or Below,5.0,103.0,99.143241,78189.0,8294.968932
Two-Door Car,Extended,Offer2,Employed,Divorced,Doctor,8.0,89.0,427.2,76506.0,7155.471967
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,6.0,80.0,489.594642,93721.0,6520.824777
Luxury Car,Basic,Offer1,Employed,Married,High School or Below,1.0,186.0,892.8,51692.0,7484.383041
Four-Door Car,Extended,Offer2,Employed,Married,Doctor,1.0,99.0,475.2,37384.0,4014.453113
Four-Door Car,Basic,Offer1,Employed,Married,Master,8.0,71.0,249.742856,45820.0,5741.696078
Two-Door Car,Extended,Offer2,Employed,Married,College,5.0,84.0,566.935022,49988.0,6408.785577
Two-Door Car,Basic,Offer1,Unemployed,Divorced,College,2.0,73.0,350.4,0.0,17497.52201
SUV,Basic,Offer1,Unemployed,Single,High School or Below,2.0,115.0,828.0,0.0,26223.81193
SUV,Basic,Offer3,Unemployed,Single,College,3.0,117.0,918.655051,0.0,7754.666388
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,62.0,124.463095,52130.0,7413.422501
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,67.0,430.29174,51125.0,7957.630101
SUV,Basic,Offer3,Employed,Divorced,College,2.0,112.0,537.6,41418.0,17367.52612
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,7.0,96.0,1012.030163,0.0,6739.316292
Luxury SUV,Extended,Offer2,Employed,Married,Master,1.0,216.0,95.693949,68516.0,8712.157741
Four-Door Car,Premium,Offer3,Employed,Single,College,2.0,101.0,245.968629,41692.0,11320.82704
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,9.0,68.0,656.959783,0.0,4766.367352
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,3.0,70.0,344.377218,46897.0,5626.530435
Four-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,2.0,64.0,460.8,0.0,20700.8645
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,61.0,292.8,23845.0,2467.129805
Four-Door Car,Basic,Offer1,Unemployed,Single,College,1.0,61.0,439.2,0.0,2191.133237
Luxury Car,Basic,Offer1,Unemployed,Single,High School or Below,6.0,189.0,1415.579302,0.0,12866.89474
Four-Door Car,Extended,Offer1,Disabled,Single,Bachelor,3.0,92.0,441.540848,10517.0,6575.53817
Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,107.0,513.6,60475.0,4330.38602
Two-Door Car,Basic,Offer2,Medical Leave,Single,Bachelor,3.0,71.0,340.8,26334.0,5305.087084
Four-Door Car,Basic,Offer3,Unemployed,Married,College,1.0,64.0,380.822087,0.0,2374.80917
Two-Door Car,Basic,Offer1,Unemployed,Single,College,1.0,66.0,316.8,0.0,2162.417356
SUV,Basic,Offer1,Unemployed,Married,High School or Below,5.0,107.0,513.6,0.0,8012.917253
Four-Door Car,Basic,Offer4,Unemployed,Married,College,4.0,72.0,216.700125,0.0,5248.978048
Two-Door Car,Extended,Offer2,Employed,Married,College,1.0,94.0,451.2,94903.0,3808.122147
SUV,Basic,Offer1,Employed,Married,Bachelor,9.0,109.0,417.72438,37277.0,8613.464001
Sports Car,Basic,Offer4,Employed,Married,Master,3.0,100.0,215.226476,63834.0,8000.545061
Four-Door Car,Extended,Offer1,Medical Leave,Single,High School or Below,2.0,95.0,456.0,22510.0,17651.96339
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,80.0,824.487259,0.0,2749.189304
Two-Door Car,Extended,Offer2,Unemployed,Married,Bachelor,2.0,86.0,541.217743,0.0,8681.046339
SUV,Basic,Offer1,Employed,Divorced,Bachelor,2.0,106.0,508.8,33190.0,33473.34946
SUV,Extended,Offer1,Employed,Married,College,5.0,129.0,619.2,52693.0,10248.89802
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,2.0,74.0,355.2,25859.0,7813.411572
Two-Door Car,Premium,Offer1,Employed,Divorced,High School or Below,3.0,110.0,372.594847,86721.0,8828.933996
Four-Door Car,Basic,Offer2,Employed,Divorced,College,6.0,66.0,316.8,38713.0,4834.710493
Two-Door Car,Basic,Offer1,Employed,Married,College,2.0,65.0,46.804,50296.0,7737.265103
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,1.0,99.0,560.045764,96413.0,3979.718986
SUV,Extended,Offer1,Employed,Married,Bachelor,1.0,122.0,585.6,23705.0,4531.372981
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,63.0,105.765111,53863.0,15182.27975
Four-Door Car,Extended,Offer1,Disabled,Married,College,1.0,90.0,290.432527,14262.0,3460.66504
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,3.0,84.0,25.961213,80979.0,6622.05254
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2.0,61.0,202.847644,65870.0,7286.789075
SUV,Basic,Offer2,Disabled,Married,College,5.0,111.0,453.578343,21052.0,8432.815731
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3.0,69.0,383.043363,38210.0,5479.854218
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,73.0,525.6,0.0,7411.813055
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,2.0,61.0,439.2,0.0,19045.50012
Four-Door Car,Extended,Offer4,Medical Leave,Married,High School or Below,8.0,76.0,519.883102,22906.0,5746.32619
Two-Door Car,Basic,Offer3,Employed,Married,High School or Below,2.0,61.0,292.8,34398.0,9613.613215
SUV,Basic,Offer2,Employed,Single,Bachelor,2.0,100.0,455.851876,20742.0,11177.7521
Two-Door Car,Extended,Offer1,Employed,Divorced,Bachelor,1.0,88.0,43.542559,58484.0,3498.773857
Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,110.0,528.0,58842.0,4362.931238
Luxury SUV,Premium,Offer2,Employed,Divorced,College,1.0,253.0,1214.4,25965.0,9830.337629
Sports Car,Basic,Offer1,Unemployed,Single,Bachelor,7.0,116.0,556.8,0.0,8385.252347
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2.0,61.0,291.388894,43947.0,6817.430723
Two-Door Car,Basic,Offer2,Employed,Single,College,2.0,64.0,231.201886,60920.0,7507.455372
Four-Door Car,Extended,Offer2,Employed,Divorced,College,1.0,78.0,374.4,33415.0,3095.803437
SUV,Basic,Offer1,Employed,Married,Master,4.0,106.0,406.634615,99652.0,8566.423522
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,9.0,70.0,501.994635,37595.0,5633.949267
Two-Door Car,Basic,Offer1,Employed,Married,High School or Below,5.0,63.0,257.923563,30503.0,4897.979559
SUV,Premium,Offer2,Employed,Married,Master,2.0,158.0,51.902587,99772.0,19231.77266
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,9.0,80.0,383.228397,72667.0,6395.351807
SUV,Basic,Offer4,Employed,Married,College,1.0,103.0,71.647924,75272.0,4122.569957
Four-Door Car,Extended,Offer1,Employed,Married,College,1.0,78.0,507.060901,60108.0,3142.81161
Four-Door Car,Extended,Offer1,Employed,Married,College,2.0,99.0,115.728852,38923.0,11318.08982
Four-Door Car,Basic,Offer3,Unemployed,Single,College,2.0,66.0,316.8,0.0,11308.47178
SUV,Basic,Offer3,Unemployed,Married,Doctor,9.0,111.0,672.91665,0.0,8296.176276
Two-Door Car,Extended,Offer3,Medical Leave,Divorced,High School or Below,2.0,82.0,393.6,23402.0,15519.67161
Two-Door Car,Basic,Offer3,Employed,Married,Master,1.0,68.0,315.353519,43386.0,2731.39917
Two-Door Car,Basic,Offer3,Unemployed,Single,College,2.0,68.0,326.4,0.0,6896.088021
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,3.0,70.0,336.0,0.0,4974.235309
Four-Door Car,Extended,Offer2,Employed,Single,High School or Below,2.0,88.0,117.470445,61650.0,10506.93706
SUV,Extended,Offer1,Employed,Married,Doctor,2.0,123.0,482.550044,61675.0,44856.11397
SUV,Basic,Offer1,Unemployed,Single,College,2.0,118.0,566.4,0.0,20957.60504
SUV,Basic,Offer2,Employed,Single,Bachelor,8.0,104.0,748.8,21723.0,7894.5005
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,4.0,83.0,540.514115,0.0,5849.321498
Luxury SUV,Basic,Offer1,Unemployed,Single,High School or Below,1.0,196.0,1644.690622,0.0,7086.176012
Two-Door Car,Extended,Offer3,Unemployed,Single,College,6.0,93.0,669.6,0.0,6512.976472
SUV,Basic,Offer2,Employed,Married,College,2.0,100.0,296.560998,32214.0,11793.12528
Two-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,7.0,73.0,496.474767,0.0,5325.724541
Two-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,98.0,705.6,0.0,3233.262049
Four-Door Car,Basic,Offer1,Medical Leave,Single,Bachelor,1.0,69.0,331.2,29735.0,2453.570794
SUV,Basic,Offer1,Unemployed,Married,College,1.0,100.0,720.0,0.0,3460.12299
Two-Door Car,Extended,Offer2,Employed,Married,Master,8.0,94.0,421.456547,87864.0,7666.520438
Four-Door Car,Basic,Offer4,Employed,Married,Master,1.0,66.0,105.379402,68787.0,2674.07551
Four-Door Car,Extended,Offer2,Employed,Married,College,2.0,86.0,412.8,62587.0,10373.88882
Two-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,2.0,67.0,308.54976,0.0,7191.831645
Luxury Car,Basic,Offer2,Employed,Married,High School or Below,6.0,182.0,716.469391,60120.0,14510.7505
Four-Door Car,Extended,Offer4,Medical Leave,Single,Master,1.0,88.0,633.6,16891.0,3359.290918
Two-Door Car,Extended,Offer3,Unemployed,Married,Bachelor,1.0,80.0,384.0,0.0,2938.728161
Four-Door Car,Extended,Offer1,Employed,Single,College,3.0,94.0,451.2,32517.0,6798.272436
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,95.0,270.370335,34624.0,3755.260251
Four-Door Car,Basic,Offer2,Medical Leave,Married,College,1.0,61.0,377.24342,19581.0,2320.750557
Four-Door Car,Basic,Offer2,Employed,Married,Master,2.0,62.0,223.72051,53262.0,16887.79708
SUV,Basic,Offer4,Unemployed,Single,High School or Below,1.0,106.0,763.2,0.0,3839.746159
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,62.0,208.598246,63860.0,2472.469209
Two-Door Car,Basic,Offer3,Employed,Married,College,1.0,73.0,383.789732,20852.0,2927.516316
Four-Door Car,Basic,Offer2,Employed,Married,Master,1.0,63.0,302.4,43072.0,2523.07015
Luxury Car,Basic,Offer2,Employed,Single,Bachelor,2.0,186.0,427.63121,61321.0,58166.55351
Four-Door Car,Extended,Offer2,Retired,Married,High School or Below,1.0,78.0,486.278557,10312.0,2886.451602
SUV,Basic,Offer4,Employed,Married,High School or Below,2.0,114.0,660.135987,97460.0,23020.89147
Four-Door Car,Extended,Offer4,Employed,Married,Bachelor,2.0,80.0,384.0,39266.0,9587.33234
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,67.0,91.914969,58166.0,2685.901421
Two-Door Car,Basic,Offer2,Unemployed,Single,High School or Below,5.0,71.0,340.8,0.0,4979.079933
Four-Door Car,Extended,Offer2,Employed,Married,Master,1.0,99.0,547.619785,38820.0,3942.917284
Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,2.0,112.0,326.926833,32762.0,13268.79263
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,79.0,46.386546,42240.0,9486.596417
Four-Door Car,Extended,Offer1,Employed,Single,College,8.0,92.0,530.340202,63267.0,7247.206475
Four-Door Car,Basic,Offer2,Disabled,Married,High School or Below,1.0,68.0,326.4,18746.0,2590.214327
Four-Door Car,Premium,Offer1,Disabled,Divorced,Bachelor,2.0,101.0,484.8,11885.0,11315.20373
SUV,Extended,Offer4,Employed,Married,High School or Below,1.0,132.0,199.590599,97742.0,5352.18703
Two-Door Car,Extended,Offer4,Employed,Married,High School or Below,2.0,88.0,205.169178,77627.0,10552.87837
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,9.0,113.0,542.4,34337.0,9035.671134
